,88
The Prelude,2
The Comedy of Errors,2
C. Wright Mills,2
Queequeg,2
Murder on the Orient Express,2
Because I could not stop for Death,2
An Occurrence at Owl Creek Bridge,2
Lawrence Durrell,2
Protagoras,2
The Sheltering Sky,2
Victor Frankenstein,2
George Willard,2
The Autobiography of Alice B. Toklas,2
Sleeping Beauty (disambiguation),2
Jean,2
Generation of '27,2
Golden,2
The Weary Blues,2
Sister Carrie,2
The Courtship of Miles Standish,2
Milo Minderbinder,2
No Longer at Ease,2
The Princess Casamassima,2
Madmen and Specialists,2
Ry?nosuke Akutagawa ,2
Amerika,2
World War II,2
The Man Who Was Thursday,2
Republic,2
Ornithoptera tithonus,2
Pastoralia (story),2
Kobo Abe,2
Lady Macbeth,2
Miguel Angel Asturias Rosales,2
Confessions of Felix Krull,2
A Toccata of Galuppi's,2
Myst IV: Revelation,2
List of literary initials,2
The Sailor Who Fell from Grace with the Sea,2
The Autocrat of the Breakfast-Table,2
Benito Cereno (writer),2
Snow-Bound,2
Agatha Christie,2
The Skin of Our Teeth,2
The Immoralist,2
Thomas Paine,2
Ariel,2
The Weavers,2
The Magic Flute,2
Mary Shelley,2
Elizabeth Costello,2
Coriolanus,2
José Maria de Eça de Queirós,2
Prometheus,2
Thucydides,2
Colonial history of the United States,2
Amos Oz,2
Barn Burning,2
Sheep,2
Mississippi,2
The Cloven Viscount,2
Black Lamb and Grey Falcon,2
Ars Poetica,2
Friar,2
The Master of Go,2
Ishmael,2
Paul Bäumer,2
Edward II of England,2
"Orlando, Florida",2
Livy,2
Petersburg,2
All's Well That Ends Well,2
Tragedy,2
The War of the End of the World,2
The Brief Wondrous Life of Oscar Wao,2
François Duvalier,2
The Tale of the Heike,2
Iris Murdoch,2
Hungary,2
Suicide,2
Sergey Lvovich Levitsky,2
Mahmoud Darwish,2
Prince Myshkin,2
Under the Volcano,2
Love,2
David Balfour,2
Anthills of the Savannah,2
The Art of War,2
Autobiography,2
Guillaume Apollinaire,2
The Loneliness of the Long Distance Runner,2
The Gulag Archipelago,2
Charles Marlow,2
Werther,2
Robert Sherwood,2
Young Goodman Brown,2
2666,2
We,2
Sunday Morning,2
Los Angeles,2
Bertha Mason,2
I Am a Cat,2
Kim (novel),2
Walden,2
Le Bateau ivre,2
Gore Vidal,2
Astrophel and Stella,2
Gerontion (Homeland),2
La Vita Nuova,2
Anthony Trollope,2
Agnes Grey,2
Henry Adams,2
Odes (Horace),2
Pearl,2
Jean Rhys,2
The Ballad of Peckham Rye,2
Baudolino,2
The French Lieutenant's Woman,2
The Baron in the Trees,2
Growth of the Soil,2
Venice,2
Israel,2
The Scholar Gipsy,2
The Collected Stories of Katherine Anne Porter,2
Marquis de Sade,2
Dream,2
Giacomo Leopardi,2
If,2
Seven Against Thebes,2
Nick Adams,2
Benya Krik,2
The Consolation of Philosophy,2
Crane,2
The Bells,2
The Plot Against America,2
Emma Lazarus,2
Nikolai,2
Pig,2
Troy,2
On First Looking into Chapman's Homer,2
La Belle Dame sans Merci,2
Medea,2
Temple,2
"Walden,",2
Equus,2
Out of the Cradle Endlessly Rocking,2
The Unvanquished,2
The Adding Machine,2
The Way of the World,2
Octopus (disambiguation),2
Catherine Earnshaw,2
List of Emily Dickinson poems,2
The Mill on the Floss,2
Science and Health with Key to the Scriptures,2
Diary of a Madman,2
Confessions,2
Funes the Memorious,2
Tao Te Ching,2
House,2
Azul Brazilian Airlines,2
Joseph,2
Manhattan Transfer,2
Ford Madox Ford,2
The Emperor of Ice-Cream,2
Pindar,2
A. S. Byatt,2
Kidnapped,2
The Joy Luck Club,2
The Sound of the Mountain,2
Old English,2
Society for Electro-Acoustic Music in the United States,2
Emily,2
Winter,2
The Masque of the Red Death,2
Nikos Kazantakis,2
Count Dracula,2
Griselda (folklore),2
James Agee,2
Either/Or,2
A. P. J. Abdul Kalam,2
The Ballad of Reading Gaol,2
The White Man's Burden,2
Fanny Price,2
Lapis lazuli,2
Mary Stuart,2
"Pamela; or, Virtue Rewarded",2
Phaedo,2
The Man That Corrupted Hadleyburg,2
Rafael Trujillo,2
Sir Kay,2
Seascape,2
Sidney Lanier,2
A Rebours ,2
Dona Flor and Her Two Husbands,2
Crome Yellow,2
Sheridan Le Fanu,2
Mystery play,2
Fixer,2
Museum of Fine Arts,2
Barabás,2
David Lodge,2
A Worn Path,2
Ophelia,2
The Pardoner's Tale,2
Christopher Okigbo,2
Sentimental Education,2
Mark Antony,2
Petals of Blood,2
Woyzeck,2
Stéphane Mallarmé,2
Cloud atlas (disambiguation),2
Rose,2
The Life You Save May Be Your Own,2
Heathcliff,2
Kristin Lavransdatter,2
Looking Backward,2
Leigh Hunt,2
Twenty Thousand Leagues Under the Sea,2
A Wrinkle in Time,2
To a Waterfowl,2
The Elements of Style,2
Dodsworth,2
Dictionary,2
Orestes,2
John Berryman,2
Belgium,2
Hunger,2
Mac Flecknoe,2
Manderley,2
Sonnet 94,2
C. Auguste Dupin,2
Giles Goat-Boy,2
Wasteland,2
"Breath, Eyes, Memory",2
Ode to the Confederate Dead,2
Iceland,2
A New Way to Pay Old Debts,2
Teacher,2
Il Canzoniere,2
Samson Agonistes,2
Joe Turner's Come and Gone,2
Ender Wiggin,2
Shipwreck,2
Rhyme,2
The Peony Pavilion,2
Sredni Vashtar,2
Pharsalia,2
The Chairs,2
Winter Dreams,2
Roots: The Saga of an American Family,2
Prometheus Unbound,2
Afrikaans,2
The Deptford Trilogy,2
A Very Old Man with Enormous Wings,2
"God Bless You, Mr. Rosewater",2
Michael Ondaatje,2
Prometheus Bound,2
Some Prefer Nettles,2
A Simple Heart,2
Skunk Hour,2
Buried Child,2
The Rivals,2
Gotthold Ephraim Lessing,2
Plutarch,2
The White Devil,2
Italian language,2
Man's Fate,2
The Confessions of Nat Turner,2
Sagas of Icelanders,2
Seize the Day,2
The Rose Tattoo,2
Literary fragment,2
Translations during the Spanish Golden Age,2
Pamela,2
Good-Bye to All That,2
Germany,2
Thomas Shadwell,2
Stream of consciousness,2
Claudius,2
The Hunger Games,2
Bessie Head,2
Up from Slavery,2
Lu Xun,2
Butterfly,2
Journey to the Center of the Earth,2
Platero,2
Massachusetts,2
The Flea (poem),2
Oliver Cromwell,2
Philip K. Dick,2
Picnic,2
"""Ruins of a Great House""",2
O Captain! My Captain!,2
Simon,2
The Communist Manifesto,2
Michel de Montaigne,2
Frank O'Hara,2
Augie March,2
A Delicate Balance,2
Shylock,2
Africa,2
Robertson Davies,2
Jorge,2
The Fountainhead,2
Denmark,2
Pip (Great Expectations),2
Giovanni Verga,2
Omeros,2
The Real Thing,2
Clan Gordon,2
Elegy,2
The Darkling Thrush,2
The Devil and Daniel Webster (film),2
Jim,2
Lara,2
Libra,2
Angle of repose,2
Hugh Selwyn Mauberley,2
Glass,2
RAND Corporation,2
When I Consider How My Light is Spent,2
Giovanni's Room,2
The Dwarf,2
Quentin Compson,2
Who Mourns for Adonais?,2
Childe Roland to the Dark Tower Came,2
Composer,2
Turkey,2
A Hero of Our Time,2
List of biographies of Muhammad,2
Heartbreak House,2
Cosette,2
The Pit and the Pendulum (1961 film),2
The Revenger's Tragedy,2
Salome,2
Greek,2
Sherman Alexie,2
Book of Daniel,2
Arrow of God,2
The Gold-Bug,2
An Ideal Husband,2
Germinal,2
Georg Büchner,2
"Augusta, Lady Gregory",2
Novel,2
Prince Hamlet,2
The Bridge,2
Hiawatha,2
Jerzy Kosinski,2
Oulipo,2
1980 Ash Wednesday bushfires,2
Purgatorio,2
Anne Brontë,2
Natty Bumppo,2
Orisha (disambiguation),2
Martin Amis,2
Wide Sargasso Sea,2
Buddenbrooks,2
Serbian,2
Minnesota,2
Evangeline,2
The Waves,2
The Anxiety of Influence,2
A Prayer for Owen Meany,2
Venus,2
William Styron,2
Arthur Schopenhauer,2
James Weldon Johnson,2
A Commentary on the General Prologue to The Canterbury Tales,2
Emily Brontë,2
William Gilmore Simms,2
Molloy,2
Gooseberry,2
Stella Kowalski,2
The Lost Honour of Katharina Blum,2
Anne of Green Gables,2
Of Love and Other Demons,2
Charlotte's Web,2
"""Master Harold""...and the Boys",2
Bicycle Thieves,2
Mariano Azuela,2
Francisco de Quevedo,2
Yevgeny Zamyatin,2
Macau Resident Identity Card,2
Orientalism,2
Iran,2
Jester,2
The Ring and the Book,2
The Pillow Book,2
Karl Popper,2
Mordecai Richler,2
Death and the Maiden,2
Auto-da-fé,2
"""The Cloud Messenger"" ",2
"Eden Cemetery (Collingdale, Pennsylvania)",2
Brian O'Nolan,2
Shakespeare's sonnets,2
Dwarf,2
Childe Harold's Pilgrimage,2
Seneca the Younger,2
Major Barbara,2
The Secret Agent,2
Valmiki,2
Paris,2
Ngugi wa Thiong'o,2
Imogen,2
A Hazard of New Fortunes,2
Homer,2
The Golden Ass,2
Bernice Bobs Her Hair,2
D. W. Griffith,2
The War of the Worlds,2
Aladdin,2
Joseph Andrews,2
Dario Fo,2
The Rocking-Horse Winner,2
Midaq Alley,2
Baba Yaga,2
Florida,2
Watership Down,2
Preface to the Lyrical Ballads,2
Maggie,2
The Crime of Sylvestre Bonnard,2
Gross Indecency: The Three Trials of Oscar Wilde,2
Dr. Watson,2
The Posthumous Memoirs of Bras Cubas,2
The Adventures of Tom Sawyer,2
Blood Wedding,2
Nectar in a Sieve,2
Narcissus (plant),2
John Brown,2
Joachim du Bellay,2
The Changing Light at Sandover,2
Politics and the English Language,2
Sarah Orne Jewett,2
Winterset,2
The Alexandria Quartet,2
The Adventures of Augie March,2
Bel Ami,2
Jennie Gerhardt,2
Empire Falls,2
Lowell,2
George Etherege,2
Bear,2
Jerome K. Jerome,2
Edmond Dantès,2
The Four Million,2
Rosencrantz and Guildenstern,2
Ragtime,2
Labyrinths,2
The Quiet American,2
Julio,2
Thomas Carlyle,2
Alessandro Manzoni,2
San Francisco,2
Lucky Jim,2
Friday,2
Notre Dame de Paris,2
Kaddish,2
Jamaica,2
England,2
Nightingale (disambiguation),2
Polish,2
Rumi,2
Trilby,2
Short story,2
The Bear (1984 film),2
Robot,2
Scoop,2
Utopia,2
Boule de suif (film),2
Prostitution,2
The Golden Bough,2
Wallace,2
Burger's Daughter,2
Robinson Jeffers,2
Fidelio,2
The Cantos,2
Frost at Midnight,2
Berengar,2
The Minister's Black Veil,2
Epic of King Gesar,2
Sancho Panza,2
The Old Curiosity Shop,2
Brahma Sutras,1
Queen of spades,1
Beat Generation,1
Colley Cibber,1
Grand Theft Auto: Vice City,1
Federico García,1
Tradition and the Individual Talent,1
Michel Houellebecq,1
Soliloquy of the Spanish Cloister,1
Thyrsis,1
Stanley Cavell,1
John Crowe Ransom,1
Hiroshima,1
Le Morte d'Arthur,1
Host,1
Season of Migration to the North,1
Douglas,1
Marius the Epicurean,1
Poor relief,1
John Cross (artist),1
Zhu Bajie,1
George Chapman,1
Josef K,1
Satanic Verses,1
The Stone Diaries,1
Ubu Roi,1
Becky Sharp,1
Fasti,1
The Threepenny Opera,1
List of rivers of Colorado,1
Philippine-American War ,1
Jerry Seinfeld,1
Henrik Pontoppidan,1
Mayor of Pichilemu,1
Gem of the Ocean,1
Oration on the Dignity of Man,1
Collins,1
Charade,1
The Hobbit,1
Greek chorus,1
Order of the Phoenix (fictional organisation),1
Robert Bridges,1
Dominicae Cenae,1
Pilgrim at Tinker Creek,1
Thomas Dekker,1
Vladimir Propp,1
The Fault in Our Stars,1
The Song of the Lark,1
Judy Blume,1
In Search of Our Mothers' Gardens,1
Pump organ,1
Classical Latin,1
Margarita,1
"One poet from this country described scratching figures on rocks in ""The Individual's Soliloquy"", one of his Poems and Antipoems. Another poet from this country noted that it would be ""delicious"" to ""kill a nun with a blow to the head"" and mused ""it so happens that I am tired of being a man"" in a 1935 poem. Nicanor Parra and the author of ""Walking Around"" are from this country, which is also home to a poet who included ""Decalogue of an Artist"" in ",1
Non-fiction novel,1
Ramona (novel series),1
Jean Anouilh,1
EDGAR,1
Greene,1
The School for Husbands,1
Peter Quince at the Clavier,1
Tommy Walker,1
Modern Greek,1
The Seven Storey Mountain,1
Frank Lloyd Wright,1
Beatrice,1
Haim,1
Charles Brockden Brown,1
Great American Novel,1
glyph1197ew Zealand ,1
William Downs,1
Bullfighting,1
Franco-Prussian War,1
Hilaire Belloc,1
Fabian Society,1
Steven Millhauser,1
The Oversoul Seven Trilogy,1
The Manciple's Tale,1
Firefighter,1
Arrowsmith (novel),1
The Garden Party (short story collection),1
Book,1
Myra Breckinridge,1
Epic,1
The Rainbow,1
1779 in poetry,1
The Miser,1
Intercourse,1
Nikolai Vasilievitch Gogol,1
The Big Money,1
Hudibras,1
Works and Days,1
Miss Marple,1
Everyman,1
A Tragedian in Spite of Himself,1
Hinton Rowan Helper,1
The Mysterious Stranger,1
Jeanette Winterson,1
The Well of Loneliness,1
Neorealism,1
Atkins v. Virginia,1
Enoch Soames,1
Peafowl,1
Rocinante,1
The Lost Steps,1
Christianity,1
Waverley,1
Jackson Pollock,1
Lotte in Weimar: The Beloved Returns,1
"Suddenly, Last Summer",1
The Violent Bear It Away,1
William Bradford,1
For Colored Girls Who Have Considered Suicide / When the Rainbow Is Enuf,1
La Gioconda,1
Just-world hypothesis,1
Troilus and Cressida,1
"BOA Editions, Ltd.",1
Molly Bloom,1
Pied Beauty,1
A. B. Yehoshua,1
Ring Lardner,1
Irony,1
Rod Steiger on screen and stage,1
Ralph,1
Marat/Sade,1
Friedrich Engels,1
Pierre de Marivaux,1
Lilith,1
Yellow (disambiguation),1
Cú Chulainn,1
"John ""Jemmy Legs"" Claggart ",1
Adams Memorial,1
List of Israeli films of the 1980s,1
The Wall,1
St. Teresa of Avila,1
Lily Bristow,1
"Good Morning, Midnight",1
Miranda,1
Bestiary,1
Crossing the Bar,1
Heimdallr,1
John Banville,1
Iulia Constantia Zilil,1
Peasants' Revolt,1
Griselda,1
Jean Santeuil,1
Juventus F.C.,1
Ajax (programming),1
Macduff,1
Alan Sillitoe,1
Alger Hiss,1
Don Carlos,1
Chimney sweep,1
"Jimmy Corrigan, the Smartest Kid on Earth",1
Baltasar and Blimunda,1
1923 Pulitzer Prize,1
Ptolemy,1
Stephen Decatur,1
Henry,1
"Notes on ""Camp""",1
Fine-structure constant,1
Black Beauty,1
The Summoner's Tale,1
The Education of Henry Adams,1
Ernest J. Gaines,1
Ludwig,1
AMBER,1
Alfred Stieglitz,1
Call It Sleep,1
Hero,1
The Mandrake,1
Kakfa on the Shore,1
Metaphysical poets,1
Judge,1
Mercy,1
Charles Kingsley,1
List of law clerks of the Supreme Court of the United States,1
The Three Hermits,1
She Walks in Beauty,1
"Liederkreis, Op. 39 (Schumann)",1
Plutus,1
Duke Ellington,1
2 + 2 = 5,1
Henry L. Stimson,1
Film criticism,1
Pictures from an Institution,1
The Life and Death of King Richard II (1960 film),1
Dutchman,1
Arundhati Roy,1
Mouse,1
Epic of Sundiata,1
Allegory of the Cave,1
Timaeus,1
Aside,1
List of Hill Street Blues episodes,1
U.S.A. (trilogy),1
"Ward No. 6, Kolkata Municipal Corporation",1
Nervous Conditions,1
Sutra,1
Clavileño,1
Jacobite rising of 1745,1
Eumenides,1
Muse,1
Pallas (Titan),1
Rabbit,1
The Morrígan,1
Hole,1
Boris (band),1
Professor Moriarty,1
Ahab,1
Riddler,1
Astrid Lindgren,1
The Animals,1
Roth,1
At Swim-Two-Birds,1
Swimmer (disambiguation),1
The Mother,1
A Separate Peace,1
Children of Paradise,1
In medias res,1
Rocket Ship Galileo,1
Stamp Act 1765,1
Mirror,1
West Side Story,1
Hamlet and His Problems,1
May Day,1
S. Fowler Wright,1
Cooper,1
John Shade,1
Philip Marsden,1
How the García Girls Lost Their Accents,1
A Virtuoso's Collection,1
Harriet Ann Jacobs,1
Bliss,1
Laurence Olivier Award for Best Performance in a Supporting Role,1
Contrast,1
Snowy,1
Ancient Greek comedy,1
A High-Toned Old Christian Woman,1
N. Scott Momaday,1
The Killers,1
Q,1
Abel Magwitch,1
John Dewey,1
Coal mining,1
Négritude,1
August 27,1
Battle of Dien Bien Phu,1
Dune,1
The Interpretation of Dreams,1
Aran Islands,1
Lancelot,1
Yevgeny,1
Benito Pérez Galdós,1
Mount Vesuvius,1
Reasons and Persons,1
Pop art,1
Franny and Zooey,1
"Salem, Massachusetts",1
Benjamin Disraeli,1
Aviator (disambiguation),1
Evelina,1
Maori people ,1
The Mayor of Zalamea,1
Center for the Greek Language,1
Wittgenstein on Rules and Private Language,1
Formalism,1
The Human Stain,1
The Waking,1
On Murder Considered as one of the Fine Arts,1
Myrmidons,1
Jim Burden ,1
List of Republic of the Congo films,1
The Agony and Sweat of the Human Spirit,1
Lorenzo Valla,1
Benito Cereno,1
Quasimodo,1
Philip Melanchthon,1
Raymond Carver,1
Julian Barnes,1
Egyptian,1
The Dying Animal,1
Awake and Sing!,1
The Recognitions,1
Oceanus,1
Book of Job,1
Inauguration of a Torah scroll,1
Ut pictura poesis,1
Tristan Tzara,1
"""Snow-bound: A Winter Idyll""",1
Knight,1
Journalism,1
Talcott,1
Nicaraguan literature,1
The Dead,1
Pearl Poet,1
Luck,1
Pantagruel,1
True West,1
Lisbon,1
Goldberg Variations,1
Copenhagen,1
Ahimsa,1
Cain and Abel,1
The Oxbow,1
Romani people,1
J. G. Ballard,1
Dona Flor dos Guimares,1
The Atlantic,1
Gulf War,1
Russian language,1
The Hedgehog and the Fox,1
Maccabees,1
The Phenomenology of Spirit,1
Moll Pitcher,1
Wendy Wasserstein,1
Santiago,1
1650 in Ireland,1
The Italian,1
The Kreutzer Sonata (1987 film),1
Nikolai Leskov,1
Michelle Cliff,1
Ya?ar Kemal ,1
"The Water-Babies, A Fairy Tale for a Land Baby",1
Ding Ling,1
Book of Ezra,1
Winterreise,1
Netherlands,1
The Wings of the Dove,1
Pensées,1
Friedrich,1
James Ngugi Wa Thiong'o,1
Heracles,1
The New York Times,1
Swimming,1
World Heritage Site,1
Melmoth the Wanderer,1
Lois Lowry,1
Bokononism,1
Caribbean,1
Richard Cory (song),1
The Great Train Robbery,1
B. F. Skinner,1
Ludwig Roselius,1
Susan Glaspell,1
"Arden, Warwickshire",1
Peter Shaffer,1
Arden of Faversham,1
Jensen,1
The Monkey's Paw,1
Saint Boniface,1
The Dog Beneath the Skin,1
Black Spot (Treasure Island),1
Sonnet sequence,1
William Hazlitt,1
A Dance to the Music of Time,1
Wolf Hall,1
Suetonius,1
Pro Caelio,1
M. Butterfly,1
Arthur C. Clarke,1
Penguin Island,1
Tree,1
Wozzeck,1
Soldier,1
Profumo affair,1
Master Harold and the Boys,1
Anna Bolena,1
List of Ulysses characters,1
Wang Wei,1
Thomas Henry Huxley,1
After Many a Summer,1
Jordanes,1
Bruno Ganz,1
Philomela,1
The Beaver Coat,1
Pot of Gold,1
René Girard,1
The Good Soldier Svejk ,1
Brynhildr,1
Koenraad Elst,1
spin-orbit coupling ,1
List of Ferrarese consorts,1
Gunga Din,1
Desdemona,1
Max Beerbohm,1
Wyndham Lewis,1
Ad-Dawr,1
Alyosha the Pot,1
Mordor,1
Life a User's Manual,1
Giambattista Vico,1
Classical Chinese,1
Snow White and the Seven Dwarfs (1912 play),1
City Lights,1
The Moon and Sixpence,1
The Woman Warrior,1
A Supermarket in California,1
Country,1
Octopus,1
Sandman,1
A Man for All Seasons,1
Lupe Fiasco,1
The Girls of Slender Means,1
The Final Problem,1
"""Meghaduta"" ",1
Swamplandia!,1
List of honours of the British Royal Family by country,1
Judas Iscariot,1
A Report to an Academy,1
Tokyo,1
Our Mutual Friend,1
John Stuart Mill,1
Nikolay Vasilyevich Fyodorov,1
Tillius Cimber,1
Cytokinesis,1
Isma'ilism,1
August: Osage County (film),1
Mike Fink,1
Paul Revere's Ride,1
Portuguese language,1
La Cucaracha (comic strip),1
Flannery,1
The Blacks (play),1
Athens,1
Nazi Party,1
Modernismo,1
Moloch,1
Sword,1
Eugénie Grandet,1
The Luncheon on the Grass ,1
Seven Gothic Tales,1
Athena,1
The Homecoming,1
V.,1
Jean Toomer,1
Homo,1
The Wreck of the Deutschland,1
Amelia,1
Ivanov,1
Stanley Kubrick,1
Ising model,1
Negative capability,1
The Sorcerer's Apprentice,1
It's the End of the World as We Know It (And I Feel Fine),1
Extremely Loud and Incredibly Close,1
L. G. O. Woodhouse,1
Lost in Translation,1
The Family of Pascual Duarte,1
Imagism,1
The End of the Affair,1
The Deerslayer,1
The Polar Express,1
Sonnet 18,1
Katniss Everdeen,1
NE postcode area,1
Lulu,1
Marie de France,1
Rachid Boudjedra,1
Elizabeth Bennet,1
Sunday in the Park with George,1
Charles Bukowski,1
Joan of Arc,1
Cunégonde,1
René,1
Hickey,1
Heinrich,1
Fear and Loathing in Las Vegas,1
Roman Elegies,1
Devil,1
Lemuel Gulliver {accept either underlined portion],1
The Hunting of the Snark (musical),1
Raven,1
Thomas Eagleton,1
Nibelungenlied,1
Southern United States,1
Blood on the Forge,1
Martin Chuzzlewit,1
Christopher Fry,1
Ivo Andric,1
Philip,1
Empedocles,1
Fluorescence,1
This Be The Verse,1
Kikuyu language,1
United States Academic Decathlon topics,1
Ulysses (novel),1
Kojiki,1
Francis of Assisi,1
Guido Cavalcanti,1
Battle of Stamford Bridge,1
Barry Lyndon,1
The Beast in the Jungle,1
Iphigenia in Tauris,1
Urea cycle,1
Jack the Ripper,1
Aristotle,1
Ignatius of Antioch,1
The Scriptwriter,1
Don José,1
Walden Two,1
The Mower's Song,1
Dr. Heidegger's Experiment,1
Tom,1
Moll Flanders,1
Hesperides (poetry),1
GABRIELA Women's Party,1
The Bride Comes to Yellow Sky,1
Absalom and Achitophel,1
Harm Wiersma,1
Quran,1
The Mysterious Benedict Society,1
Brobdingnag,1
Maxine Hong Kingston,1
Lev,1
Annie Leibovitz,1
Gandalf,1
On Heroes and Tombs,1
American Gods,1
Boston Tea Party,1
The Twilight Saga: New Moon,1
Memoirs of Hadrian,1
Julian Jaynes,1
Diffraction,1
Punjabi,1
Too Late the Phalarope,1
Hero and Leander,1
Gordon Korman,1
The World as Will and Representation,1
Puck (A Midsummer Night's Dream),1
In Praise of Limestone,1
Winnie-the-Pooh,1
Walter Pater,1
Cottingley Fairies,1
Yoknapatawpha County,1
Lady Windermere's Fan (mathematics),1
Nightwood,1
Mary Rowlandson,1
Austria,1
Shaka,1
Robert E. Sherwood,1
An Apology for Poetry,1
Little Gidding,1
Thomas More,1
Strange Fruit,1
A. J. Ayer,1
Terra Nostra,1
Grotesque,1
Chitra Banerjee Divakaruni,1
Ramona Quimby,1
Strange Interlude,1
Franklin College,1
The Invention of Morel,1
The Dog in the Manger,1
The Day of Doom,1
Effi Briest,1
Roxane,1
Beowulf: The Monsters and the Critics,1
Epistolary,1
Saracen,1
Mumbo Jumbo,1
Dada,1
Step Brothers,1
The Most Dangerous Game (novel),1
John Ruskin,1
Nevsky Prospect,1
The Gods Are Athirst,1
Shadow,1
Princess Patricia's Canadian Light Infantry,1
Henry Sidgwick,1
Alice Liddell,1
Carlo Emilio Gadda,1
Sir,1
Junichiro Tanizaki ,1
New Historicism,1
17th century in literature,1
The Enchantress of Florence,1
Hector,1
Alone I Break,1
Sif,1
Persian language,1
Ashanti,1
Edward Jenner,1
Bloomsday,1
Aurora Leigh,1
Fronde,1
The Celestial Omnibus,1
An Essay on Criticism,1
The Nigger of the 'Narcissus',1
Sizwe Banzi Is Dead,1
Supermarket,1
Delmore Schwartz,1
Parmenides {SK/MA},1
Casey at the Bat,1
Marianne Dashwood,1
For the Union Dead,1
The Daring Young Man on the Flying Trapeze,1
Héroïde funèbre (Liszt),1
"Lohengrin, opera, Wagner-Werke-Verzeichnis 75 ",1
Felicia Hemans,1
Pan Tadeusz,1
John Penrose Angold,1
Peter Pan,1
J. L. Austin,1
Greed (film),1
Porphyry,1
The March,1
List of Emmerdale characters,1
"Matthew Arnold School, Staines-upon-Thames",1
Witchcraft,1
Roger Chillingworth,1
The Wreck of the Hesperus,1
Wis?awa Szymborska,1
Dystheism,1
The Unfortunate Traveller,1
Homeric Hymns,1
Reuben,1
Hans Bellmer,1
Hubert Duggan,1
Wakefield Mystery Plays,1
Sun,1
Gérard de Nerval,1
A Dream Play,1
Camille Paglia,1
Outlaws,1
Aborigine,1
Battle of the Milvian Bridge,1
Louisiana,1
The Praise of Folly,1
Ode to Joy,1
Sanctuary (Faulkner novel),1
Painting,1
James Hilton,1
Poor Folk,1
Madame Defarge,1
More Stately Mansions,1
Slouching Towards Bethlehem,1
Figaro,1
Sun Ra,1
Edward Eastlin Cummings,1
Miss Havisham,1
Rudin,1
The New York Trilogy,1
The Albatross,1
Gone with the Wind,1
Pinkerton (detective agency),1
Cyclic adenosine monophosphate,1
Jean Genet,1
Parables of Jesus,1
The Lorelei Signal,1
Orlando: A Biography,1
Rusalka,1
Pelléas and Mélisande,1
The Knight of the Burning Pestle,1
War of the Pacific,1
The Bartered Bride,1
Canon,1
Clarel,1
Spanish-American War,1
Priesthood (Catholic Church),1
Green Knight,1
Earl Warren,1
Heinrich Mann,1
Mycroft Holmes,1
The Breasts of Tiresias,1
The Pit (Norris novel),1
Alexander Iseyavich Solzhenitsyn,1
Down at the Dinghy,1
Josef ?vejk ,1
Stoicism,1
Anna Karenina (2012 film),1
The Country of the Blind,1
Father (disambiguation),1
Harry S. Truman,1
Theatre,1
3 (number),1
Federico,1
Philip Glass Buys a Loaf of Bread,1
"Statue of John Henry Newman, London",1
George Lamming,1
Edward Franklin Albee,1
Kamala Markandaya,1
James Merrill,1
GSKB Almaz-Antey,1
Wit,1
The Barber of Seville,1
Duel,1
Apology,1
The Eve of St. Agnes,1
Basque,1
Music education,1
Denis Johnson,1
William I,1
Robert Frost: A Lover's Quarrel with the World,1
Book of Genesis,1
Joao Guimaraes Rosa,1
Burroughs,1
Shout Out Out Out Out,1
"Cecil Calvert, 2nd Baron Baltimore",1
Sartor Resartus,1
A Long Way from Chicago,1
Orphan,1
Roughing It,1
Giorgio de Chirico,1
Access to the Region's Core,1
Chaco War,1
Magic Theatre,1
Henry-Rene-Albert Guy de Maupassant,1
Mr. Popper's Penguins,1
DOC,1
Max Frisch,1
"""For Esmé?With Love and Squalor""",1
Rome,1
Atonement,1
Color blindness,1
The Magus,1
Epistolary novel,1
Dissociation of sensibility,1
Toad,1
Giselle,1
No Country for Old Men,1
Tiger,1
Lyrical Ballads,1
Confessio Amantis,1
Ben,1
Studs Lonigan,1
Bede,1
F,1
Poetics,1
Bee,1
Cassius Dio,1
Time,1
Sophie's Choice,1
Annie John,1
Mishima,1
Out of Africa,1
Lord Buckley,1
Lebanon,1
Tintern Abbey,1
Langston,1
Another Time,1
"Private Eye Action, as You Like It",1
Tonio Kröger,1
Paterson,1
Children's Corner,1
The Gospel According to Jesus Christ,1
Confessing Church,1
A Fable for Critics,1
Malapropism,1
Milton: A Poem in Two Books,1
Dutch,1
Art Spiegelman,1
Limbo (Brathwaite poem),1
Fruit,1
Memories of My Melancholy Whores,1
Tortilla Flat,1
Büyük Ada,1
The Sea-Wolf,1
The Open Window (Matisse),1
Apology (Plato),1
Urn,1
Captain America,1
Torquato Tasso,1
Dinosaur,1
Cavalier,1
Wilhelm Meister's Apprenticeship,1
True History of the Kelly Gang,1
Chicago Review,1
Storytelling,1
Metastasis,1
The Prisoner of Zenda,1
Aldous,1
Jenufa,1
Against the Grain,1
The Kindly Ones,1
The Handsomest Drowned Man in the World,1
Menander,1
Auld Lang Syne (The New Year's Anthem),1
Euclid,1
"Aradia, or the Gospel of the Witches",1
Jeeves,1
Giles Mompesson,1
Author,1
Alhambra,1
John Dillinger,1
Estella (Great Expectations),1
Thebaid,1
Journey to the End of the Night,1
â??The Ocean Full of Bowling Ballsâ? ,1
House of Leaves,1
Ruslan and Ludmila,1
Samuel von Pufendorf,1
Defensive tackle,1
